	(	)	*	+	-	/	;	<	<=	<id>	<num>	=	>	>=	else	if	while	{	}	$	(	)	*	+	-	/	;	<	<=	<id>	<num>	=	>	>=	else	if	while	{	}	A	B	S	S'
0	X	X	X	X	X	X	X	X	X	s130	X	X	X	X	X	s120	s3	X	X	X	X	X	X	X	X	X	X	X	X	130	X	X	X	X	X	120	3	X	X	X	X	1	X	
1	X	X	X	X	X	X	s2	X	X	X	X	X	X	X	X	X	X	X	X	acc	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
2	X	X	X	X	X	X	r10	X	X	X	X	X	X	X	X	X	X	X	X	r10	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
3	s4	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	4	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
4	X	X	X	X	X	X	X	X	X	s117	s116	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	117	116	X	X	X	X	X	X	X	X	5	X	X	X	
5	X	s6	X	X	X	X	X	s112	s114	X	X	X	s110	s108	X	X	X	X	X	X	X	6	X	X	X	X	X	112	114	X	X	X	110	108	X	X	X	X	X	X	X	X	X	
6	X	X	X	X	X	X	X	X	X	s130	X	X	X	X	X	s120	s3	s7	X	X	X	X	X	X	X	X	X	X	X	130	X	X	X	X	X	120	3	7	X	X	X	119	X	
7	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	8	X	
8	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s9	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	9	X	X	X	X	
9	X	X	X	X	X	X	r1	X	X	X	X	X	X	X	X	X	X	X	X	r1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
10	X	X	X	X	X	X	r10	X	X	X	X	X	X	X	X	X	X	X	r10	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
11	s12	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	12	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
12	X	X	X	X	X	X	X	X	X	s117	s116	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	117	116	X	X	X	X	X	X	X	X	13	X	X	X	
13	X	s14	X	X	X	X	X	s112	s114	X	X	X	s110	s108	X	X	X	X	X	X	X	14	X	X	X	X	X	112	114	X	X	X	110	108	X	X	X	X	X	X	X	X	X	
14	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	s15	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	15	X	X	X	118	X	
15	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	16	X	
16	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s17	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	17	X	X	X	X	
17	X	X	X	X	X	X	r1	X	X	X	X	X	X	X	X	X	X	X	r1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
18	s19	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	19	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
19	X	X	X	X	X	X	X	X	X	s117	s116	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	117	116	X	X	X	X	X	X	X	X	20	X	X	X	
20	X	s21	X	X	X	X	X	s112	s114	X	X	X	s110	s108	X	X	X	X	X	X	X	21	X	X	X	X	X	112	114	X	X	X	110	108	X	X	X	X	X	X	X	X	X	
21	X	X	X	X	X	X	X	X	X	s84	X	X	X	X	X	s74	s66	s58	X	X	X	X	X	X	X	X	X	X	X	84	X	X	X	X	X	74	66	58	X	X	X	22	X	
22	X	X	X	X	X	X	s57	X	X	X	X	X	X	X	s23	X	X	X	r3	X	X	X	X	X	X	X	57	X	X	X	X	X	X	X	23	X	X	X	X	X	X	X	X	
23	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	s25	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	25	X	X	X	24	X	
24	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	r5	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
25	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	26	X	
26	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s27	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	27	X	X	X	X	
27	X	X	X	X	X	X	r7	X	X	X	X	X	X	X	X	X	X	X	r7	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
28	X	X	X	X	X	X	X	X	X	X	X	s29	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	29	X	X	X	X	X	X	X	X	X	X	X	
29	s39	X	X	X	X	X	X	X	X	s56	s55	X	X	X	X	X	X	X	X	X	39	X	X	X	X	X	X	X	X	56	55	X	X	X	X	X	X	X	X	X	30	X	X	
30	X	X	s37	s31	s33	s35	r9	X	X	X	X	X	X	X	X	X	X	X	r9	X	X	X	37	31	33	35	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
31	s39	X	X	X	X	X	X	X	X	s56	s55	X	X	X	X	X	X	X	X	X	39	X	X	X	X	X	X	X	X	56	55	X	X	X	X	X	X	X	X	X	32	X	X	
32	X	X	s37	s31	s33	s35	r17	X	X	X	X	X	X	X	X	X	X	X	r17	X	X	X	37	31	33	35	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
33	s39	X	X	X	X	X	X	X	X	s56	s55	X	X	X	X	X	X	X	X	X	39	X	X	X	X	X	X	X	X	56	55	X	X	X	X	X	X	X	X	X	34	X	X	
34	X	X	s37	s31	s33	s35	r18	X	X	X	X	X	X	X	X	X	X	X	r18	X	X	X	37	31	33	35	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
35	s39	X	X	X	X	X	X	X	X	s56	s55	X	X	X	X	X	X	X	X	X	39	X	X	X	X	X	X	X	X	56	55	X	X	X	X	X	X	X	X	X	36	X	X	
36	X	X	s37	s31	s33	s35	r19	X	X	X	X	X	X	X	X	X	X	X	r19	X	X	X	37	31	33	35	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
37	s39	X	X	X	X	X	X	X	X	s56	s55	X	X	X	X	X	X	X	X	X	39	X	X	X	X	X	X	X	X	56	55	X	X	X	X	X	X	X	X	X	38	X	X	
38	X	X	s37	s31	s33	s35	r20	X	X	X	X	X	X	X	X	X	X	X	r20	X	X	X	37	31	33	35	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
39	s50	X	X	X	X	X	X	X	X	s54	s53	X	X	X	X	X	X	X	X	X	50	X	X	X	X	X	X	X	X	54	53	X	X	X	X	X	X	X	X	X	40	X	X	
40	X	s41	s48	s42	s44	s46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	41	48	42	44	46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
41	X	X	r21	r21	r21	r21	r21	X	X	X	X	X	X	X	X	X	X	X	r21	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
42	s50	X	X	X	X	X	X	X	X	s54	s53	X	X	X	X	X	X	X	X	X	50	X	X	X	X	X	X	X	X	54	53	X	X	X	X	X	X	X	X	X	43	X	X	
43	X	r17	s48	s42	s44	s46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	48	42	44	46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
44	s50	X	X	X	X	X	X	X	X	s54	s53	X	X	X	X	X	X	X	X	X	50	X	X	X	X	X	X	X	X	54	53	X	X	X	X	X	X	X	X	X	45	X	X	
45	X	r18	s48	s42	s44	s46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	48	42	44	46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
46	s50	X	X	X	X	X	X	X	X	s54	s53	X	X	X	X	X	X	X	X	X	50	X	X	X	X	X	X	X	X	54	53	X	X	X	X	X	X	X	X	X	47	X	X	
47	X	r19	s48	s42	s44	s46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	48	42	44	46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
48	s50	X	X	X	X	X	X	X	X	s54	s53	X	X	X	X	X	X	X	X	X	50	X	X	X	X	X	X	X	X	54	53	X	X	X	X	X	X	X	X	X	49	X	X	
49	X	r20	s48	s42	s44	s46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	48	42	44	46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
50	s50	X	X	X	X	X	X	X	X	s54	s53	X	X	X	X	X	X	X	X	X	50	X	X	X	X	X	X	X	X	54	53	X	X	X	X	X	X	X	X	X	51	X	X	
51	X	s52	s48	s42	s44	s46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	52	48	42	44	46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
52	X	r21	r21	r21	r21	r21	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
53	X	r22	r22	r22	r22	r22	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
54	X	r23	r23	r23	r23	r23	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
55	X	X	r22	r22	r22	r22	r22	X	X	X	X	X	X	X	X	X	X	X	r22	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
56	X	X	r23	r23	r23	r23	r23	X	X	X	X	X	X	X	X	X	X	X	r23	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
57	X	X	X	X	X	X	r10	X	X	X	X	X	X	X	r10	X	X	X	r10	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
58	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	59	X	
59	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s60	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	60	X	X	X	X	
60	X	X	X	X	X	X	r4	X	X	X	X	X	X	X	s61	X	X	X	r4	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	61	X	X	X	X	X	X	X	X	
61	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	s63	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	63	X	X	X	62	X	
62	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	r6	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
63	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	64	X	
64	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s65	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	65	X	X	X	X	
65	X	X	X	X	X	X	r8	X	X	X	X	X	X	X	X	X	X	X	r8	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
66	s67	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	67	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
67	X	X	X	X	X	X	X	X	X	s117	s116	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	117	116	X	X	X	X	X	X	X	X	68	X	X	X	
68	X	s69	X	X	X	X	X	s112	s114	X	X	X	s110	s108	X	X	X	X	X	X	X	69	X	X	X	X	X	112	114	X	X	X	110	108	X	X	X	X	X	X	X	X	X	
69	X	X	X	X	X	X	X	X	X	s84	X	X	X	X	X	s74	s66	s70	X	X	X	X	X	X	X	X	X	X	X	84	X	X	X	X	X	74	66	70	X	X	X	73	X	
70	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	71	X	
71	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s72	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	72	X	X	X	X	
72	X	X	X	X	X	X	r1	X	X	X	X	X	X	X	r1	X	X	X	r1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
73	X	X	X	X	X	X	s57	X	X	X	X	X	X	X	r2	X	X	X	r2	X	X	X	X	X	X	X	57	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
74	s75	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	75	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
75	X	X	X	X	X	X	X	X	X	s117	s116	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	117	116	X	X	X	X	X	X	X	X	76	X	X	X	
76	X	s77	X	X	X	X	X	s112	s114	X	X	X	s110	s108	X	X	X	X	X	X	X	77	X	X	X	X	X	112	114	X	X	X	110	108	X	X	X	X	X	X	X	X	X	
77	X	X	X	X	X	X	X	X	X	s84	X	X	X	X	X	s74	s66	s100	X	X	X	X	X	X	X	X	X	X	X	84	X	X	X	X	X	74	66	100	X	X	X	78	X	
78	X	X	X	X	X	X	s57	X	X	X	X	X	X	X	s79	X	X	X	r3	X	X	X	X	X	X	X	57	X	X	X	X	X	X	X	79	X	X	X	X	X	X	X	X	
79	X	X	X	X	X	X	X	X	X	s84	X	X	X	X	X	s74	s66	s81	X	X	X	X	X	X	X	X	X	X	X	84	X	X	X	X	X	74	66	81	X	X	X	80	X	
80	X	X	X	X	X	X	s57	X	X	X	X	X	X	X	r5	X	X	X	r5	X	X	X	X	X	X	X	57	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
81	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	82	X	
82	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s83	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	83	X	X	X	X	
83	X	X	X	X	X	X	r7	X	X	X	X	X	X	X	r7	X	X	X	r7	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
84	X	X	X	X	X	X	X	X	X	X	X	s85	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	85	X	X	X	X	X	X	X	X	X	X	X	
85	s95	X	X	X	X	X	X	X	X	s99	s98	X	X	X	X	X	X	X	X	X	95	X	X	X	X	X	X	X	X	99	98	X	X	X	X	X	X	X	X	X	86	X	X	
86	X	X	s93	s87	s89	s91	r9	X	X	X	X	X	X	X	r9	X	X	X	r9	X	X	X	93	87	89	91	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
87	s95	X	X	X	X	X	X	X	X	s99	s98	X	X	X	X	X	X	X	X	X	95	X	X	X	X	X	X	X	X	99	98	X	X	X	X	X	X	X	X	X	88	X	X	
88	X	X	s93	s87	s89	s91	r17	X	X	X	X	X	X	X	r17	X	X	X	r17	X	X	X	93	87	89	91	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
89	s95	X	X	X	X	X	X	X	X	s99	s98	X	X	X	X	X	X	X	X	X	95	X	X	X	X	X	X	X	X	99	98	X	X	X	X	X	X	X	X	X	90	X	X	
90	X	X	s93	s87	s89	s91	r18	X	X	X	X	X	X	X	r18	X	X	X	r18	X	X	X	93	87	89	91	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
91	s95	X	X	X	X	X	X	X	X	s99	s98	X	X	X	X	X	X	X	X	X	95	X	X	X	X	X	X	X	X	99	98	X	X	X	X	X	X	X	X	X	92	X	X	
92	X	X	s93	s87	s89	s91	r19	X	X	X	X	X	X	X	r19	X	X	X	r19	X	X	X	93	87	89	91	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
93	s95	X	X	X	X	X	X	X	X	s99	s98	X	X	X	X	X	X	X	X	X	95	X	X	X	X	X	X	X	X	99	98	X	X	X	X	X	X	X	X	X	94	X	X	
94	X	X	s93	s87	s89	s91	r20	X	X	X	X	X	X	X	r20	X	X	X	r20	X	X	X	93	87	89	91	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
95	s50	X	X	X	X	X	X	X	X	s54	s53	X	X	X	X	X	X	X	X	X	50	X	X	X	X	X	X	X	X	54	53	X	X	X	X	X	X	X	X	X	96	X	X	
96	X	s97	s48	s42	s44	s46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	97	48	42	44	46	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
97	X	X	r21	r21	r21	r21	r21	X	X	X	X	X	X	X	r21	X	X	X	r21	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
98	X	X	r22	r22	r22	r22	r22	X	X	X	X	X	X	X	r22	X	X	X	r22	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
99	X	X	r23	r23	r23	r23	r23	X	X	X	X	X	X	X	r23	X	X	X	r23	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
100	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	101	X	
101	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s102	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	102	X	X	X	X	
102	X	X	X	X	X	X	r4	X	X	X	X	X	X	X	s103	X	X	X	r4	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	103	X	X	X	X	X	X	X	X	
103	X	X	X	X	X	X	X	X	X	s84	X	X	X	X	X	s74	s66	s105	X	X	X	X	X	X	X	X	X	X	X	84	X	X	X	X	X	74	66	105	X	X	X	104	X	
104	X	X	X	X	X	X	s57	X	X	X	X	X	X	X	r6	X	X	X	r6	X	X	X	X	X	X	X	57	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
105	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	106	X	
106	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s107	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	107	X	X	X	X	
